Asset_Name,Property_ID,Uniformat_Category,Component_Type,Correction_Work_Type,Fiscal_Year,Correction_Cost,API,Current_FCI,Projected_FCI,Current_RSL,Projected_RSL,Quantity,UoM,Assessment_Method,Last_Inspected_Rating,Assessor_Comments,CAIS_Asset_ID,Section_ID
Research Facility 1538552,1538552,Foundations & Substructure,EPDM Membrane Roof,Repair Deficiency,2033,418015.0,89,0.9322,0.8495,10,14,9529,LF,Direct Visual,90,Synthetic DOE Assessor Comment,CAIS-666,SEC-5
Research Facility 1538552,1538552,Roofing Systems,Epoxy Floor Coating,Sustainment Paint,2035,444796.0,43,0.3717,0.6104,17,24,4439,LF,Direct Visual,76,Synthetic DOE Assessor Comment,CAIS-336,SEC-1
Research Facility 1538552,1538552,HVAC & Mechanical,High-Performance Glazing,Replace System,2028,202735.0,96,0.5832,0.9006,29,6,3139,EA,Direct Visual,90,Synthetic DOE Assessor Comment,CAIS-383,SEC-5
Research Facility 1538552,1538552,Electrical Systems,Chilled Water Loop,Sustainment Paint,2031,544835.0,13,0.8491,0.9093,7,13,3728,LF,Direct Visual,71,Synthetic DOE Assessor Comment,CAIS-409,SEC-1
Research Facility 1538552,1538552,HVAC & Mechanical,Chilled Water Loop,Repair Deficiency,2031,571050.0,6,0.9166,0.485,-2,30,4787,EA,Direct Visual,100,Synthetic DOE Assessor Comment,CAIS-989,SEC-4
Research Facility 1538552,1538552,Foundations & Substructure,High-Voltage Switchgear,Repair Deficiency,2031,457089.0,61,0.3004,0.5397,25,23,5583,EA,Direct Visual,63,Synthetic DOE Assessor Comment,CAIS-358,SEC-4
Research Facility 1728977,1728977,Electrical Systems,Reinforced Concrete Repair,Replace System,2034,405190.0,10,0.3047,0.6473,-2,4,2445,LF,Direct Visual,65,Synthetic DOE Assessor Comment,CAIS-354,SEC-1
Research Facility 1728977,1728977,Plumbing Systems,High-Voltage Switchgear,Replace System,2030,231076.0,100,0.3815,0.5296,28,19,7382,KV,Direct Visual,79,Synthetic DOE Assessor Comment,CAIS-980,SEC-5
Research Facility 1728977,1728977,Interior Finishes,EPDM Membrane Roof,Sustainment Paint,2027,168338.0,79,0.4144,0.4488,1,8,3458,LF,Direct Visual,65,Synthetic DOE Assessor Comment,CAIS-260,SEC-2
Research Facility 1728977,1728977,Superstructure & Walls,Chilled Water Loop,Repair Deficiency,2029,595628.0,1,0.5746,0.3441,21,23,9730,KV,Direct Visual,78,Synthetic DOE Assessor Comment,CAIS-133,SEC-2
Research Facility 1768805,1768805,HVAC & Mechanical,EPDM Membrane Roof,Sustainment Paint,2034,41853.0,10,0.9545,0.4712,9,11,9664,EA,Direct Visual,87,Synthetic DOE Assessor Comment,CAIS-217,SEC-5
Research Facility 1768805,1768805,Superstructure & Walls,Air Handling Unit,Repair Deficiency,2031,485190.0,19,0.5046,0.4937,-1,-2,2719,LF,Direct Visual,98,Synthetic DOE Assessor Comment,CAIS-866,SEC-5
Research Facility 1768805,1768805,Roofing Systems,Epoxy Floor Coating,Repair Deficiency,2034,95764.0,89,0.4814,0.9641,14,20,4461,KV,Direct Visual,88,Synthetic DOE Assessor Comment,CAIS-182,SEC-5
Research Facility 1768805,1768805,Foundations & Substructure,Epoxy Floor Coating,Sustainment Paint,2032,639647.0,78,0.335,0.4895,11,-4,1497,EA,Direct Visual,96,Synthetic DOE Assessor Comment,CAIS-701,SEC-1
Research Facility 1768805,1768805,Electrical Systems,Air Handling Unit,Replace System,2027,272036.0,98,0.7314,0.7629,6,25,8503,KV,Direct Visual,77,Synthetic DOE Assessor Comment,CAIS-285,SEC-5
Research Facility 1768805,1768805,Interior Finishes,Air Handling Unit,Replace System,2028,744952.0,61,0.6328,0.9702,17,21,5461,LF,Direct Visual,66,Synthetic DOE Assessor Comment,CAIS-978,SEC-2
Research Facility 1768805,1768805,Roofing Systems,Epoxy Floor Coating,Sustainment Paint,2034,483171.0,37,0.703,0.355,20,30,602,KV,Direct Visual,65,Synthetic DOE Assessor Comment,CAIS-422,SEC-3
Research Facility 1938483,1938483,Foundations & Substructure,High-Voltage Switchgear,Replace System,2035,112251.0,1,0.4616,0.7952,29,24,6771,SF,Direct Visual,72,Synthetic DOE Assessor Comment,CAIS-630,SEC-3
Research Facility 1938483,1938483,Plumbing Systems,High-Voltage Switchgear,Replace System,2034,463579.0,98,0.6198,0.9687,-2,8,4376,EA,Direct Visual,78,Synthetic DOE Assessor Comment,CAIS-548,SEC-4
Research Facility 1938483,1938483,Foundations & Substructure,Reinforced Concrete Repair,Sustainment Paint,2030,615833.0,91,0.6643,0.3614,5,14,9025,SF,Direct Visual,95,Synthetic DOE Assessor Comment,CAIS-517,SEC-1
Research Facility 1938483,1938483,Superstructure & Walls,High-Voltage Switchgear,Repair Deficiency,2034,420900.0,16,0.4025,0.6456,4,26,4782,LF,Direct Visual,86,Synthetic DOE Assessor Comment,CAIS-954,SEC-4
Research Facility 1938483,1938483,Interior Finishes,High-Performance Glazing,Replace System,2035,54163.0,19,0.3277,0.7018,19,7,9821,EA,Direct Visual,64,Synthetic DOE Assessor Comment,CAIS-382,SEC-4
Research Facility 1938483,1938483,Roofing Systems,High-Voltage Switchgear,Sustainment Paint,2031,320894.0,1,0.4498,0.7836,13,14,9617,KV,Direct Visual,69,Synthetic DOE Assessor Comment,CAIS-557,SEC-5
Research Facility 1938483,1938483,Interior Finishes,EPDM Membrane Roof,Replace System,2035,144983.0,98,0.7387,0.4186,29,19,7461,LF,Direct Visual,72,Synthetic DOE Assessor Comment,CAIS-814,SEC-2
Research Facility 1938483,1938483,Plumbing Systems,Epoxy Floor Coating,Repair Deficiency,2033,87396.0,6,0.5703,0.6521,15,25,6247,KV,Direct Visual,69,Synthetic DOE Assessor Comment,CAIS-607,SEC-1
Research Facility 2166941,2166941,Plumbing Systems,Chilled Water Loop,Replace System,2028,275755.0,57,0.3935,0.5319,1,28,7487,SF,Direct Visual,69,Synthetic DOE Assessor Comment,CAIS-519,SEC-2
Research Facility 2166941,2166941,Foundations & Substructure,Epoxy Floor Coating,Replace System,2032,377205.0,80,0.9288,0.8966,20,0,5384,KV,Direct Visual,80,Synthetic DOE Assessor Comment,CAIS-741,SEC-4
Research Facility 2166941,2166941,Electrical Systems,Chilled Water Loop,Repair Deficiency,2028,557094.0,31,0.4554,0.419,13,9,1481,KV,Direct Visual,66,Synthetic DOE Assessor Comment,CAIS-878,SEC-1
Research Facility 2166941,2166941,Interior Finishes,High-Performance Glazing,Sustainment Paint,2031,110012.0,4,0.6513,0.4774,-3,15,920,LF,Direct Visual,82,Synthetic DOE Assessor Comment,CAIS-483,SEC-4
Research Facility 2166941,2166941,Superstructure & Walls,High-Performance Glazing,Sustainment Paint,2033,689476.0,73,0.3633,0.9101,6,5,2869,SF,Direct Visual,99,Synthetic DOE Assessor Comment,CAIS-991,SEC-4
Research Facility 2197935,2197935,Interior Finishes,Chilled Water Loop,Repair Deficiency,2030,120296.0,60,0.9002,0.4283,11,24,4184,SF,Direct Visual,89,Synthetic DOE Assessor Comment,CAIS-394,SEC-5
Research Facility 2197935,2197935,Superstructure & Walls,Reinforced Concrete Repair,Replace System,2032,272044.0,76,0.5375,0.7936,14,22,4098,KV,Direct Visual,79,Synthetic DOE Assessor Comment,CAIS-303,SEC-4
Research Facility 2197935,2197935,Electrical Systems,Epoxy Floor Coating,Repair Deficiency,2030,593478.0,49,0.8823,0.5751,17,13,4838,SF,Direct Visual,85,Synthetic DOE Assessor Comment,CAIS-381,SEC-1
Research Facility 2197935,2197935,Plumbing Systems,High-Voltage Switchgear,Sustainment Paint,2027,323684.0,78,0.7366,0.3572,26,13,3771,LF,Direct Visual,74,Synthetic DOE Assessor Comment,CAIS-751,SEC-2
Research Facility 2197935,2197935,Plumbing Systems,EPDM Membrane Roof,Sustainment Paint,2029,35211.0,81,0.834,0.7549,1,-3,5062,KV,Direct Visual,62,Synthetic DOE Assessor Comment,CAIS-693,SEC-3
Research Facility 2197935,2197935,HVAC & Mechanical,High-Performance Glazing,Repair Deficiency,2031,518849.0,42,0.3063,0.369,21,6,3290,EA,Direct Visual,94,Synthetic DOE Assessor Comment,CAIS-997,SEC-3
Research Facility 2322047,2322047,Electrical Systems,High-Performance Glazing,Replace System,2034,739878.0,38,0.9621,0.4931,16,2,7674,SF,Direct Visual,69,Synthetic DOE Assessor Comment,CAIS-872,SEC-2
Research Facility 2322047,2322047,Electrical Systems,Air Handling Unit,Sustainment Paint,2033,645909.0,72,0.6302,0.6049,18,0,6465,SF,Direct Visual,76,Synthetic DOE Assessor Comment,CAIS-649,SEC-1
Research Facility 2322047,2322047,Interior Finishes,EPDM Membrane Roof,Sustainment Paint,2031,314752.0,75,0.4525,0.7843,19,18,1776,EA,Direct Visual,90,Synthetic DOE Assessor Comment,CAIS-125,SEC-5
Research Facility 2322047,2322047,Plumbing Systems,EPDM Membrane Roof,Sustainment Paint,2030,482547.0,83,0.8076,0.7418,-1,24,4952,KV,Direct Visual,67,Synthetic DOE Assessor Comment,CAIS-243,SEC-1
Research Facility 2322047,2322047,Foundations & Substructure,EPDM Membrane Roof,Replace System,2028,441930.0,13,0.7902,0.5095,10,29,2223,KV,Direct Visual,89,Synthetic DOE Assessor Comment,CAIS-479,SEC-5
Research Facility 2322047,2322047,Interior Finishes,Chilled Water Loop,Sustainment Paint,2029,259187.0,54,0.3637,0.55,1,26,6687,LF,Direct Visual,62,Synthetic DOE Assessor Comment,CAIS-806,SEC-3
Research Facility 2322047,2322047,Superstructure & Walls,Epoxy Floor Coating,Replace System,2030,284474.0,47,0.4703,0.7011,1,18,8921,LF,Direct Visual,63,Synthetic DOE Assessor Comment,CAIS-507,SEC-3
Research Facility 2338687,2338687,Foundations & Substructure,High-Voltage Switchgear,Replace System,2028,574121.0,85,0.5673,0.9066,8,-4,829,LF,Direct Visual,75,Synthetic DOE Assessor Comment,CAIS-228,SEC-5
Research Facility 2338687,2338687,Superstructure & Walls,Reinforced Concrete Repair,Sustainment Paint,2030,153310.0,76,0.5954,0.5381,8,9,5384,EA,Direct Visual,98,Synthetic DOE Assessor Comment,CAIS-102,SEC-3
Research Facility 2338687,2338687,Electrical Systems,High-Performance Glazing,Repair Deficiency,2035,362532.0,33,0.6923,0.6349,6,2,423,EA,Direct Visual,60,Synthetic DOE Assessor Comment,CAIS-466,SEC-2
Research Facility 2338687,2338687,Plumbing Systems,EPDM Membrane Roof,Repair Deficiency,2029,174336.0,34,0.6395,0.689,-2,3,6898,SF,Direct Visual,64,Synthetic DOE Assessor Comment,CAIS-587,SEC-4
Research Facility 2338687,2338687,Electrical Systems,EPDM Membrane Roof,Sustainment Paint,2028,632771.0,58,0.4204,0.9395,27,9,711,LF,Direct Visual,89,Synthetic DOE Assessor Comment,CAIS-758,SEC-1
Research Facility 2338687,2338687,Foundations & Substructure,Epoxy Floor Coating,Replace System,2033,308128.0,88,0.4901,0.9008,1,26,7268,SF,Direct Visual,65,Synthetic DOE Assessor Comment,CAIS-429,SEC-5
Research Facility 2556017,2556017,Foundations & Substructure,High-Performance Glazing,Replace System,2035,690495.0,92,0.3105,0.9313,15,19,9788,LF,Direct Visual,89,Synthetic DOE Assessor Comment,CAIS-617,SEC-5
Research Facility 2556017,2556017,Interior Finishes,Reinforced Concrete Repair,Sustainment Paint,2028,133873.0,84,0.9573,0.9553,30,8,7047,KV,Direct Visual,74,Synthetic DOE Assessor Comment,CAIS-523,SEC-3
Research Facility 2556017,2556017,Electrical Systems,Epoxy Floor Coating,Replace System,2033,650807.0,94,0.5002,0.5619,1,15,6993,LF,Direct Visual,76,Synthetic DOE Assessor Comment,CAIS-483,SEC-2
Research Facility 2556017,2556017,HVAC & Mechanical,Epoxy Floor Coating,Repair Deficiency,2028,270746.0,11,0.4826,0.63,0,22,1583,LF,Direct Visual,68,Synthetic DOE Assessor Comment,CAIS-669,SEC-1
Research Facility 2556017,2556017,Plumbing Systems,Chilled Water Loop,Sustainment Paint,2032,553429.0,86,0.6786,0.9366,2,21,5794,KV,Direct Visual,63,Synthetic DOE Assessor Comment,CAIS-394,SEC-5
Research Facility 2622631,2622631,Roofing Systems,Reinforced Concrete Repair,Sustainment Paint,2035,368390.0,28,0.6876,0.3661,4,25,3675,SF,Direct Visual,82,Synthetic DOE Assessor Comment,CAIS-965,SEC-5
Research Facility 2622631,2622631,Roofing Systems,Reinforced Concrete Repair,Replace System,2030,75491.0,55,0.7564,0.5439,30,30,431,LF,Direct Visual,61,Synthetic DOE Assessor Comment,CAIS-284,SEC-3
Research Facility 2622631,2622631,HVAC & Mechanical,High-Voltage Switchgear,Replace System,2032,59458.0,45,0.6525,0.8966,-5,6,2348,KV,Direct Visual,64,Synthetic DOE Assessor Comment,CAIS-245,SEC-1
Research Facility 2622631,2622631,Foundations & Substructure,Air Handling Unit,Sustainment Paint,2030,199892.0,49,0.8771,0.3929,21,24,5586,EA,Direct Visual,83,Synthetic DOE Assessor Comment,CAIS-419,SEC-3
Research Facility 2622631,2622631,Electrical Systems,Chilled Water Loop,Sustainment Paint,2028,735929.0,7,0.5445,0.4996,4,5,816,SF,Direct Visual,77,Synthetic DOE Assessor Comment,CAIS-553,SEC-4
Research Facility 2622631,2622631,Interior Finishes,Chilled Water Loop,Replace System,2033,152762.0,35,0.5855,0.4742,8,27,1865,LF,Direct Visual,87,Synthetic DOE Assessor Comment,CAIS-213,SEC-3
Research Facility 2622631,2622631,HVAC & Mechanical,Air Handling Unit,Sustainment Paint,2034,666576.0,68,0.3555,0.3035,14,-3,3613,KV,Direct Visual,98,Synthetic DOE Assessor Comment,CAIS-156,SEC-1
Research Facility 2694522,2694522,Roofing Systems,High-Performance Glazing,Repair Deficiency,2031,267012.0,38,0.3482,0.5698,15,2,127,KV,Direct Visual,87,Synthetic DOE Assessor Comment,CAIS-279,SEC-2
Research Facility 2694522,2694522,Interior Finishes,Chilled Water Loop,Sustainment Paint,2030,486799.0,65,0.9029,0.3188,30,17,1181,KV,Direct Visual,62,Synthetic DOE Assessor Comment,CAIS-546,SEC-1
Research Facility 2694522,2694522,Interior Finishes,Reinforced Concrete Repair,Replace System,2033,34597.0,74,0.3639,0.6932,20,21,4744,SF,Direct Visual,85,Synthetic DOE Assessor Comment,CAIS-121,SEC-3
Research Facility 2694522,2694522,Superstructure & Walls,High-Voltage Switchgear,Sustainment Paint,2034,232729.0,89,0.5231,0.4054,18,0,7156,SF,Direct Visual,75,Synthetic DOE Assessor Comment,CAIS-546,SEC-5
Research Facility 2694522,2694522,Interior Finishes,Chilled Water Loop,Repair Deficiency,2033,652929.0,40,0.4948,0.7018,16,9,5457,EA,Direct Visual,64,Synthetic DOE Assessor Comment,CAIS-622,SEC-1
Research Facility 2694522,2694522,Plumbing Systems,Chilled Water Loop,Repair Deficiency,2032,33524.0,45,0.3254,0.8594,4,10,1685,EA,Direct Visual,76,Synthetic DOE Assessor Comment,CAIS-302,SEC-2
Research Facility 2714803,2714803,Electrical Systems,High-Voltage Switchgear,Sustainment Paint,2028,359929.0,23,0.6652,0.5221,26,24,9237,KV,Direct Visual,96,Synthetic DOE Assessor Comment,CAIS-758,SEC-5
Research Facility 2714803,2714803,Roofing Systems,High-Voltage Switchgear,Sustainment Paint,2032,253951.0,20,0.4468,0.7236,23,-1,7683,KV,Direct Visual,100,Synthetic DOE Assessor Comment,CAIS-410,SEC-3
Research Facility 2714803,2714803,Plumbing Systems,Reinforced Concrete Repair,Replace System,2035,614023.0,10,0.8726,0.4322,14,24,7405,SF,Direct Visual,63,Synthetic DOE Assessor Comment,CAIS-477,SEC-3
Research Facility 2714803,2714803,Foundations & Substructure,Air Handling Unit,Repair Deficiency,2035,465394.0,50,0.7757,0.3941,24,30,673,KV,Direct Visual,96,Synthetic DOE Assessor Comment,CAIS-767,SEC-2
Research Facility 2714803,2714803,Roofing Systems,Chilled Water Loop,Replace System,2035,96976.0,20,0.9593,0.7859,-2,23,1696,LF,Direct Visual,65,Synthetic DOE Assessor Comment,CAIS-616,SEC-2
Research Facility 3094235,3094235,Superstructure & Walls,Air Handling Unit,Replace System,2034,225366.0,68,0.8407,0.4842,28,5,5963,LF,Direct Visual,78,Synthetic DOE Assessor Comment,CAIS-496,SEC-4
Research Facility 3094235,3094235,Electrical Systems,EPDM Membrane Roof,Sustainment Paint,2027,30751.0,81,0.8059,0.4706,16,-1,5402,SF,Direct Visual,95,Synthetic DOE Assessor Comment,CAIS-794,SEC-4
Research Facility 3094235,3094235,Roofing Systems,EPDM Membrane Roof,Sustainment Paint,2029,34717.0,43,0.9546,0.8685,0,4,5732,LF,Direct Visual,85,Synthetic DOE Assessor Comment,CAIS-232,SEC-5
Research Facility 3608513,3608513,Roofing Systems,Chilled Water Loop,Replace System,2032,747340.0,17,0.7682,0.3396,28,0,6938,LF,Direct Visual,61,Synthetic DOE Assessor Comment,CAIS-471,SEC-3
Research Facility 3608513,3608513,Superstructure & Walls,High-Performance Glazing,Replace System,2034,179747.0,25,0.6735,0.7859,9,3,2539,SF,Direct Visual,78,Synthetic DOE Assessor Comment,CAIS-964,SEC-1
Research Facility 3608513,3608513,Plumbing Systems,High-Voltage Switchgear,Sustainment Paint,2035,179115.0,5,0.9355,0.734,16,3,9786,KV,Direct Visual,69,Synthetic DOE Assessor Comment,CAIS-266,SEC-2
Research Facility 3608513,3608513,Electrical Systems,Air Handling Unit,Sustainment Paint,2029,409216.0,93,0.8018,0.677,23,-3,6732,LF,Direct Visual,75,Synthetic DOE Assessor Comment,CAIS-554,SEC-5
Research Facility 3678638,3678638,Electrical Systems,Air Handling Unit,Replace System,2030,640217.0,69,0.7964,0.3324,10,14,7685,EA,Direct Visual,83,Synthetic DOE Assessor Comment,CAIS-794,SEC-5
Research Facility 3678638,3678638,Interior Finishes,Epoxy Floor Coating,Replace System,2033,514653.0,65,0.5421,0.8153,28,21,2656,EA,Direct Visual,98,Synthetic DOE Assessor Comment,CAIS-241,SEC-3
Research Facility 3678638,3678638,Foundations & Substructure,Air Handling Unit,Replace System,2032,358112.0,71,0.3789,0.3313,1,28,2043,LF,Direct Visual,65,Synthetic DOE Assessor Comment,CAIS-881,SEC-2
Research Facility 3678638,3678638,Roofing Systems,Epoxy Floor Coating,Sustainment Paint,2029,578081.0,56,0.8817,0.7785,0,9,7392,LF,Direct Visual,61,Synthetic DOE Assessor Comment,CAIS-524,SEC-1
Research Facility 3678638,3678638,Interior Finishes,Chilled Water Loop,Replace System,2030,229007.0,50,0.3117,0.8191,0,18,3679,SF,Direct Visual,80,Synthetic DOE Assessor Comment,CAIS-201,SEC-3
Research Facility 3678638,3678638,Electrical Systems,High-Performance Glazing,Repair Deficiency,2027,123672.0,37,0.622,0.4178,25,3,7686,KV,Direct Visual,99,Synthetic DOE Assessor Comment,CAIS-105,SEC-1
Research Facility 3678638,3678638,Foundations & Substructure,EPDM Membrane Roof,Repair Deficiency,2029,61601.0,71,0.7418,0.3327,28,22,1822,LF,Direct Visual,75,Synthetic DOE Assessor Comment,CAIS-408,SEC-1
Research Facility 3728882,3728882,Superstructure & Walls,Epoxy Floor Coating,Sustainment Paint,2034,737465.0,9,0.7319,0.3308,2,26,9777,SF,Direct Visual,100,Synthetic DOE Assessor Comment,CAIS-627,SEC-5
Research Facility 3728882,3728882,Superstructure & Walls,Air Handling Unit,Repair Deficiency,2031,435874.0,55,0.3104,0.9347,-5,17,3942,KV,Direct Visual,71,Synthetic DOE Assessor Comment,CAIS-780,SEC-1
Research Facility 3728882,3728882,Plumbing Systems,EPDM Membrane Roof,Repair Deficiency,2035,274467.0,70,0.8824,0.7479,27,27,9080,SF,Direct Visual,84,Synthetic DOE Assessor Comment,CAIS-994,SEC-4
Research Facility 3741438,3741438,HVAC & Mechanical,Epoxy Floor Coating,Replace System,2031,400327.0,96,0.7188,0.9418,-4,17,1107,LF,Direct Visual,75,Synthetic DOE Assessor Comment,CAIS-850,SEC-1
Research Facility 3741438,3741438,Electrical Systems,Chilled Water Loop,Sustainment Paint,2032,688837.0,18,0.318,0.6983,-3,17,8946,LF,Direct Visual,71,Synthetic DOE Assessor Comment,CAIS-950,SEC-4
Research Facility 3741438,3741438,HVAC & Mechanical,Epoxy Floor Coating,Sustainment Paint,2029,194462.0,18,0.8446,0.7605,-1,24,606,LF,Direct Visual,72,Synthetic DOE Assessor Comment,CAIS-144,SEC-2
Research Facility 3871230,3871230,Roofing Systems,EPDM Membrane Roof,Sustainment Paint,2033,538726.0,70,0.7374,0.6116,25,11,600,EA,Direct Visual,78,Synthetic DOE Assessor Comment,CAIS-465,SEC-1
Research Facility 3871230,3871230,Electrical Systems,Air Handling Unit,Replace System,2031,358254.0,16,0.9402,0.5625,18,22,6554,KV,Direct Visual,84,Synthetic DOE Assessor Comment,CAIS-447,SEC-2
Research Facility 3871230,3871230,Interior Finishes,Air Handling Unit,Replace System,2032,40804.0,67,0.743,0.4405,12,0,6956,SF,Direct Visual,87,Synthetic DOE Assessor Comment,CAIS-716,SEC-2
Research Facility 4226067,4226067,Roofing Systems,Reinforced Concrete Repair,Repair Deficiency,2032,154336.0,85,0.3472,0.3685,13,14,7306,KV,Direct Visual,70,Synthetic DOE Assessor Comment,CAIS-806,SEC-4
Research Facility 4226067,4226067,Roofing Systems,Epoxy Floor Coating,Repair Deficiency,2032,670021.0,79,0.3265,0.7204,22,12,940,SF,Direct Visual,100,Synthetic DOE Assessor Comment,CAIS-515,SEC-3
Research Facility 4226067,4226067,Plumbing Systems,High-Voltage Switchgear,Sustainment Paint,2029,554138.0,4,0.3484,0.5169,4,23,571,EA,Direct Visual,64,Synthetic DOE Assessor Comment,CAIS-341,SEC-3
Research Facility 4226067,4226067,Roofing Systems,Epoxy Floor Coating,Sustainment Paint,2027,641373.0,78,0.7635,0.5316,4,23,6078,LF,Direct Visual,88,Synthetic DOE Assessor Comment,CAIS-881,SEC-1
Research Facility 4226067,4226067,Plumbing Systems,High-Performance Glazing,Sustainment Paint,2032,502828.0,51,0.6373,0.7712,15,12,4090,SF,Direct Visual,61,Synthetic DOE Assessor Comment,CAIS-853,SEC-2
Research Facility 4226067,4226067,Interior Finishes,Chilled Water Loop,Replace System,2035,159664.0,16,0.9369,0.3266,11,11,7312,EA,Direct Visual,99,Synthetic DOE Assessor Comment,CAIS-392,SEC-4
Research Facility 4226067,4226067,Superstructure & Walls,Reinforced Concrete Repair,Repair Deficiency,2028,63192.0,58,0.958,0.6726,6,23,1439,LF,Direct Visual,82,Synthetic DOE Assessor Comment,CAIS-826,SEC-1
Research Facility 4514944,4514944,Roofing Systems,High-Voltage Switchgear,Repair Deficiency,2029,565544.0,47,0.8104,0.8486,27,9,1989,EA,Direct Visual,68,Synthetic DOE Assessor Comment,CAIS-342,SEC-4
Research Facility 4514944,4514944,Foundations & Substructure,EPDM Membrane Roof,Sustainment Paint,2032,116852.0,60,0.7975,0.3868,30,3,1413,SF,Direct Visual,79,Synthetic DOE Assessor Comment,CAIS-507,SEC-4
Research Facility 4514944,4514944,Plumbing Systems,Epoxy Floor Coating,Replace System,2028,73140.0,17,0.828,0.5317,15,-1,7373,KV,Direct Visual,93,Synthetic DOE Assessor Comment,CAIS-452,SEC-2
Research Facility 4514944,4514944,Electrical Systems,High-Voltage Switchgear,Sustainment Paint,2029,403073.0,99,0.6821,0.4622,3,22,8239,SF,Direct Visual,67,Synthetic DOE Assessor Comment,CAIS-630,SEC-2
Research Facility 4514944,4514944,Roofing Systems,High-Performance Glazing,Repair Deficiency,2032,678010.0,91,0.8106,0.8131,9,17,8502,LF,Direct Visual,65,Synthetic DOE Assessor Comment,CAIS-356,SEC-2
Research Facility 4514944,4514944,HVAC & Mechanical,Chilled Water Loop,Replace System,2029,417068.0,81,0.5569,0.6633,14,29,1531,EA,Direct Visual,97,Synthetic DOE Assessor Comment,CAIS-694,SEC-2
Research Facility 4514944,4514944,Superstructure & Walls,Air Handling Unit,Sustainment Paint,2032,180531.0,73,0.5649,0.5024,-3,-4,1331,SF,Direct Visual,96,Synthetic DOE Assessor Comment,CAIS-371,SEC-2
Research Facility 4612365,4612365,Plumbing Systems,Air Handling Unit,Repair Deficiency,2034,566742.0,81,0.5647,0.3074,29,13,4950,KV,Direct Visual,75,Synthetic DOE Assessor Comment,CAIS-924,SEC-4
Research Facility 4612365,4612365,Roofing Systems,Epoxy Floor Coating,Repair Deficiency,2027,468652.0,21,0.8761,0.5413,23,21,7934,KV,Direct Visual,73,Synthetic DOE Assessor Comment,CAIS-448,SEC-5
Research Facility 4612365,4612365,Superstructure & Walls,EPDM Membrane Roof,Sustainment Paint,2032,61663.0,94,0.946,0.9464,17,20,2143,LF,Direct Visual,92,Synthetic DOE Assessor Comment,CAIS-675,SEC-1
Research Facility 4612365,4612365,Roofing Systems,High-Performance Glazing,Replace System,2028,456637.0,35,0.7296,0.6049,23,10,2309,SF,Direct Visual,63,Synthetic DOE Assessor Comment,CAIS-397,SEC-4
Research Facility 4612365,4612365,Electrical Systems,Chilled Water Loop,Replace System,2030,629583.0,21,0.5235,0.7573,15,15,3111,EA,Direct Visual,91,Synthetic DOE Assessor Comment,CAIS-627,SEC-4
Research Facility 4612365,4612365,Interior Finishes,EPDM Membrane Roof,Replace System,2027,645112.0,12,0.8383,0.8369,20,27,7492,EA,Direct Visual,73,Synthetic DOE Assessor Comment,CAIS-697,SEC-3
