FIMS_Record_ID,City,State,Property_ID,Asset_Name,Asset_Description,Site_Name,Site_Code,Facility_Class_Code,Asset_Type,Interest_Type,Operational_Status,FIMS_Status,Acquisition_Date,Acquisition_Method,RPV,Construction_Type,WBS_Element,Space_ID,Space_Name,Category_Code,FAC_Code,Primary_UOM,Primary_Qty,Secondary_UOM,Secondary_Qty,Build_Date,Placed_in_Service_Date,Sustainment_Fund_Code,Sustainment_Org,Shared_Use_Code,User_Org_Code,City_and_State,Form_Label
42325,Los Alamos,New Mexico,3678638,Research Facility 16,Synthetic experimental test asset 16,Los Alamos National Lab,DOE-708,FC5616,Building,FEE,Active,Reportable,1-Jan-80,Constructed,8344769,PERM,WBS-2.05.02,001,Lab Suite 01,550869,9199,GSF,175171,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST4,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
83579,Los Alamos,Tennessee,3728882,Research Facility 17,Synthetic experimental test asset 17,Los Alamos National Lab,DOE-140,FC4450,Building,FEE,Active,Reportable,1-Jan-80,Constructed,111328085,PERM,WBS-2.05.02,001,Lab Suite 01,807229,7647,GSF,144643,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
80644,Livermore,Tennessee,3741438,Research Facility 18,Synthetic experimental test asset 18,Hanford Site,DOE-734,FC6617,Building,FEE,Active,Reportable,1-Jan-80,Constructed,35349564,PERM,WBS-4.04.02,001,Lab Suite 01,507562,5097,GSF,241584,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
44438,Los Alamos,Tennessee,3871230,Research Facility 19,Synthetic experimental test asset 19,Hanford Site,DOE-183,FC4335,Building,FEE,Active,Reportable,1-Jan-80,Constructed,104052376,PERM,WBS-3.02.04,001,Lab Suite 01,820219,3517,GSF,43044,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST1,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
86622,Argonne,New Mexico,4226067,Research Facility 20,Synthetic experimental test asset 20,Hanford Site,DOE-529,FC5325,Building,FEE,Active,Reportable,1-Jan-80,Constructed,111406362,PERM,WBS-3.01.01,001,Lab Suite 01,894475,1190,GSF,56214,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
66155,Argonne,Tennessee,4514944,Research Facility 21,Synthetic experimental test asset 21,Los Alamos National Lab,DOE-773,FC9280,Building,FEE,Active,Reportable,1-Jan-80,Constructed,111777086,PERM,WBS-2.05.02,001,Lab Suite 01,292480,2846,GSF,197300,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST8,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
86484,Oak Ridge,Tennessee,4612365,Research Facility 22,Synthetic experimental test asset 22,Hanford Site,DOE-697,FC9004,Building,FEE,Active,Reportable,1-Jan-80,Constructed,67250665,PERM,WBS-2.05.02,001,Lab Suite 01,755414,8065,GSF,119752,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST1,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
62350,Argonne,California,4684531,Research Facility 23,Synthetic experimental test asset 23,Y-12 National Security Complex,DOE-678,FC5114,Building,FEE,Active,Reportable,1-Jan-80,Constructed,84757501,PERM,WBS-1.10.01,001,Lab Suite 01,706750,4685,GSF,53984,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST6,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
57447,Livermore,Tennessee,4823498,Research Facility 24,Synthetic experimental test asset 24,Los Alamos National Lab,DOE-635,FC1832,Building,FEE,Active,Reportable,1-Jan-80,Constructed,125716221,PERM,WBS-2.05.02,001,Lab Suite 01,425568,3981,GSF,45774,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST5,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
38746,Richland,Illinois,4842788,Research Facility 25,Synthetic experimental test asset 25,Hanford Site,DOE-423,FC2512,Building,FEE,Active,Reportable,1-Jan-80,Constructed,57286002,PERM,WBS-4.04.01,001,Lab Suite 01,535800,9586,GSF,7568,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
28131,Oak Ridge,New Mexico,4905582,Research Facility 26,Synthetic experimental test asset 26,Y-12 National Security Complex,DOE-367,FC7939,Building,FEE,Active,Reportable,1-Jan-80,Constructed,37049003,PERM,WBS-3.02.04,001,Lab Suite 01,684553,8711,GSF,125151,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
76784,Oak Ridge,California,5107245,Research Facility 27,Synthetic experimental test asset 27,Hanford Site,DOE-309,FC5533,Building,FEE,Active,Reportable,1-Jan-80,Constructed,66136438,PERM,WBS-3.01.01,001,Lab Suite 01,984224,1922,GSF,198664,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST9,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
74686,Livermore,Washington,5437923,Research Facility 28,Synthetic experimental test asset 28,Lawrence Livermore National Lab,DOE-785,FC1722,Building,FEE,Active,Reportable,1-Jan-80,Constructed,133482111,PERM,WBS-1.10.02,001,Lab Suite 01,110425,5182,GSF,203635,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST9,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
21915,Livermore,New Mexico,5479144,Research Facility 29,Synthetic experimental test asset 29,Hanford Site,DOE-833,FC1058,Building,FEE,Active,Reportable,1-Jan-80,Constructed,130683192,PERM,WBS-3.01.01,001,Lab Suite 01,428635,3088,GSF,138767,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST4,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
16175,Los Alamos,Illinois,5528972,Research Facility 30,Synthetic experimental test asset 30,Lawrence Livermore National Lab,DOE-421,FC6464,Building,FEE,Active,Reportable,1-Jan-80,Constructed,60831368,PERM,WBS-3.02.04,001,Lab Suite 01,410850,8578,GSF,129375,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST8,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
24371,Oak Ridge,New Mexico,5661907,Research Facility 31,Synthetic experimental test asset 31,Hanford Site,DOE-344,FC3143,Building,FEE,Active,Reportable,1-Jan-80,Constructed,15959014,PERM,WBS-4.04.01,001,Lab Suite 01,330392,3284,GSF,184262,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST4,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
30033,Los Alamos,Illinois,5663623,Research Facility 32,Synthetic experimental test asset 32,Sandia National Lab,DOE-371,FC5291,Building,FEE,Active,Reportable,1-Jan-80,Constructed,61972561,PERM,WBS-3.02.04,001,Lab Suite 01,560770,8712,GSF,141330,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST5,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
92240,Argonne,Illinois,5667265,Research Facility 33,Synthetic experimental test asset 33,Sandia National Lab,DOE-505,FC3647,Building,FEE,Active,Reportable,1-Jan-80,Constructed,53900483,PERM,WBS-1.10.01,001,Lab Suite 01,933927,9802,GSF,223610,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
30969,Oak Ridge,Washington,5855124,Research Facility 34,Synthetic experimental test asset 34,Argonne National Lab,DOE-234,FC8239,Building,FEE,Active,Reportable,1-Jan-80,Constructed,25193880,PERM,WBS-1.10.02,001,Lab Suite 01,718158,6298,GSF,44504,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST8,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
99192,Oak Ridge,New Mexico,5918715,Research Facility 35,Synthetic experimental test asset 35,Sandia National Lab,DOE-787,FC8007,Building,FEE,Active,Reportable,1-Jan-80,Constructed,125826171,PERM,WBS-3.01.01,001,Lab Suite 01,746130,8351,GSF,169231,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST1,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
65333,Sandia,Washington,6292423,Research Facility 36,Synthetic experimental test asset 36,Sandia National Lab,DOE-760,FC1158,Building,FEE,Active,Reportable,1-Jan-80,Constructed,8385357,PERM,WBS-2.05.01,001,Lab Suite 01,796508,9370,GSF,18986,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
88172,Richland,Washington,6440561,Research Facility 37,Synthetic experimental test asset 37,Hanford Site,DOE-407,FC2832,Building,FEE,Active,Reportable,1-Jan-80,Constructed,49738553,PERM,WBS-3.01.01,001,Lab Suite 01,447902,8091,GSF,66858,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST6,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
18326,Oak Ridge,New Mexico,6647119,Research Facility 38,Synthetic experimental test asset 38,Los Alamos National Lab,DOE-568,FC2232,Building,FEE,Active,Reportable,1-Jan-80,Constructed,73574553,PERM,WBS-1.10.01,001,Lab Suite 01,597575,8405,GSF,134312,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
60432,Argonne,Tennessee,6708456,Research Facility 39,Synthetic experimental test asset 39,Los Alamos National Lab,DOE-423,FC3442,Building,FEE,Active,Reportable,1-Jan-80,Constructed,16392366,PERM,WBS-1.10.02,001,Lab Suite 01,573246,3707,GSF,17666,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST3,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
60019,Los Alamos,Tennessee,6770619,Research Facility 40,Synthetic experimental test asset 40,Lawrence Livermore National Lab,DOE-869,FC9938,Building,FEE,Active,Reportable,1-Jan-80,Constructed,93883975,PERM,WBS-4.04.01,001,Lab Suite 01,573638,8877,GSF,43660,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST8,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
88104,Los Alamos,Washington,6960453,Research Facility 41,Synthetic experimental test asset 41,Los Alamos National Lab,DOE-174,FC1590,Building,FEE,Active,Reportable,1-Jan-80,Constructed,73979792,PERM,WBS-3.02.04,001,Lab Suite 01,818446,8473,GSF,139633,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST3,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
71348,Sandia,California,7022674,Research Facility 42,Synthetic experimental test asset 42,Y-12 National Security Complex,DOE-109,FC7049,Building,FEE,Active,Reportable,1-Jan-80,Constructed,42709731,PERM,WBS-3.02.04,001,Lab Suite 01,334082,5346,GSF,31854,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST9,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
79352,Richland,Washington,7067228,Research Facility 43,Synthetic experimental test asset 43,Argonne National Lab,DOE-569,FC3426,Building,FEE,Active,Reportable,1-Jan-80,Constructed,28027075,PERM,WBS-4.04.01,001,Lab Suite 01,646004,5150,GSF,69505,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST1,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
42953,Argonne,Washington,7120868,Research Facility 44,Synthetic experimental test asset 44,Sandia National Lab,DOE-736,FC8041,Building,FEE,Active,Reportable,1-Jan-80,Constructed,91191493,PERM,WBS-1.10.02,001,Lab Suite 01,606171,5643,GSF,109488,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
82512,Los Alamos,Washington,7210606,Research Facility 45,Synthetic experimental test asset 45,Argonne National Lab,DOE-676,FC3088,Building,FEE,Active,Reportable,1-Jan-80,Constructed,92796277,PERM,WBS-4.04.01,001,Lab Suite 01,942291,9640,GSF,188323,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST1,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
11504,Livermore,Tennessee,7350753,Research Facility 46,Synthetic experimental test asset 46,Y-12 National Security Complex,DOE-202,FC1685,Building,FEE,Active,Reportable,1-Jan-80,Constructed,27335235,PERM,WBS-2.05.02,001,Lab Suite 01,944692,9039,GSF,27662,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST2,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
99166,Argonne,Tennessee,7366205,Research Facility 47,Synthetic experimental test asset 47,Sandia National Lab,DOE-175,FC6050,Building,FEE,Active,Reportable,1-Jan-80,Constructed,139489564,PERM,WBS-3.01.01,001,Lab Suite 01,881711,5019,GSF,13392,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
25014,Argonne,Tennessee,7374122,Research Facility 48,Synthetic experimental test asset 48,Lawrence Livermore National Lab,DOE-650,FC6974,Building,FEE,Active,Reportable,1-Jan-80,Constructed,142802430,PERM,WBS-1.10.01,001,Lab Suite 01,287934,5599,GSF,35535,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST3,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
99353,Richland,Washington,7377459,Research Facility 49,Synthetic experimental test asset 49,Y-12 National Security Complex,DOE-318,FC1653,Building,FEE,Active,Reportable,1-Jan-80,Constructed,132924625,PERM,WBS-4.04.01,001,Lab Suite 01,800855,8306,GSF,214675,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST8,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
80381,Los Alamos,California,8090293,Research Facility 50,Synthetic experimental test asset 50,Y-12 National Security Complex,DOE-618,FC6862,Building,FEE,Active,Reportable,1-Jan-80,Constructed,112944665,PERM,WBS-1.10.01,001,Lab Suite 01,198914,2369,GSF,118569,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST3,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
44973,Argonne,Tennessee,8536477,Research Facility 51,Synthetic experimental test asset 51,Argonne National Lab,DOE-371,FC4441,Building,FEE,Active,Reportable,1-Jan-80,Constructed,57631083,PERM,WBS-2.05.02,001,Lab Suite 01,407571,5781,GSF,57256,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST1,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
94012,Sandia,New Mexico,8606962,Research Facility 52,Synthetic experimental test asset 52,Hanford Site,DOE-235,FC5088,Building,FEE,Active,Reportable,1-Jan-80,Constructed,13585377,PERM,WBS-3.02.04,001,Lab Suite 01,650490,4941,GSF,94135,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST5,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
54587,Sandia,New Mexico,8707870,Research Facility 53,Synthetic experimental test asset 53,Argonne National Lab,DOE-457,FC2684,Building,FEE,Active,Reportable,1-Jan-80,Constructed,91544585,PERM,WBS-4.04.01,001,Lab Suite 01,806101,5551,GSF,132478,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
24621,Los Alamos,New Mexico,8755439,Research Facility 54,Synthetic experimental test asset 54,Argonne National Lab,DOE-170,FC6794,Building,FEE,Active,Reportable,1-Jan-80,Constructed,90157821,PERM,WBS-1.10.02,001,Lab Suite 01,773686,6602,GSF,40222,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST6,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
48469,Sandia,Illinois,9961380,Research Facility 55,Synthetic experimental test asset 55,Los Alamos National Lab,DOE-350,FC7658,Building,FEE,Active,Reportable,1-Jan-80,Constructed,65304654,PERM,WBS-3.02.04,001,Lab Suite 01,759342,6338,GSF,82373,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST4,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
66985,Livermore,Washington,9996414,Research Facility 56,Synthetic experimental test asset 56,Y-12 National Security Complex,DOE-478,FC3532,Building,FEE,Active,Reportable,1-Jan-80,Constructed,116636935,PERM,WBS-3.02.04,001,Lab Suite 01,461470,9949,GSF,215647,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST8,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
